date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:36:12	134959/134959	---M--	200	added ('OK')	image/jpeg	etag:%2267c69b35-20f2f%22	https://html.awaikenthemes.com/infine/images/team-3.jpg	C:/My%20Web%20Sites/lakshmi-plastic%20-%204%20-%20landing%20page%20with%20video/html.awaikenthemes.com/infine/images/team-3.jpg	(from https://html.awaikenthemes.com/infine/about.html)
17:36:12	111947/111947	---M--	200	added ('OK')	image/jpeg	etag:%2267c69b35-1b54b%22	https://html.awaikenthemes.com/infine/images/sidebar-cta-img.jpg	C:/My%20Web%20Sites/lakshmi-plastic%20-%204%20-%20landing%20page%20with%20video/html.awaikenthemes.com/infine/images/sidebar-cta-img.jpg	(from https://html.awaikenthemes.com/infine/service-single.html)
17:36:13	227866/227866	---M--	200	added ('OK')	image/jpeg	etag:%2267c69b35-37a1a%22	https://html.awaikenthemes.com/infine/images/servie-1.jpg	C:/My%20Web%20Sites/lakshmi-plastic%20-%204%20-%20landing%20page%20with%20video/html.awaikenthemes.com/infine/images/servie-1.jpg	(from https://html.awaikenthemes.com/infine/service-single.html)
17:36:13	167380/167380	---M--	200	added ('OK')	image/jpeg	etag:%2267c69b35-28dd4%22	https://html.awaikenthemes.com/infine/images/service-entry-2.jpg	C:/My%20Web%20Sites/lakshmi-plastic%20-%204%20-%20landing%20page%20with%20video/html.awaikenthemes.com/infine/images/service-entry-2.jpg	(from https://html.awaikenthemes.com/infine/service-single.html)
17:36:14	355210/355210	---M--	200	added ('OK')	image/jpeg	etag:%2267c69b35-56b8a%22	https://html.awaikenthemes.com/infine/images/service-entry-1.jpg	C:/My%20Web%20Sites/lakshmi-plastic%20-%204%20-%20landing%20page%20with%20video/html.awaikenthemes.com/infine/images/service-entry-1.jpg	(from https://html.awaikenthemes.com/infine/service-single.html)
17:36:14	149091/149091	---M--	200	added ('OK')	image/jpeg	etag:%2267c69b35-24663%22	https://html.awaikenthemes.com/infine/images/post-4.jpg	C:/My%20Web%20Sites/lakshmi-plastic%20-%204%20-%20landing%20page%20with%20video/html.awaikenthemes.com/infine/images/post-4.jpg	(from https://html.awaikenthemes.com/infine/blog.html)
17:36:15	157737/157737	---M--	200	added ('OK')	image/jpeg	etag:%2267c69b35-26829%22	https://html.awaikenthemes.com/infine/images/post-6.jpg	C:/My%20Web%20Sites/lakshmi-plastic%20-%204%20-%20landing%20page%20with%20video/html.awaikenthemes.com/infine/images/post-6.jpg	(from https://html.awaikenthemes.com/infine/blog.html)
17:36:15	218678/218678	---M--	200	added ('OK')	image/jpeg	etag:%2267c69b35-35636%22	https://html.awaikenthemes.com/infine/images/post-5.jpg	C:/My%20Web%20Sites/lakshmi-plastic%20-%204%20-%20landing%20page%20with%20video/html.awaikenthemes.com/infine/images/post-5.jpg	(from https://html.awaikenthemes.com/infine/blog.html)
17:36:16	159821/159821	---M--	200	added ('OK')	image/jpeg	etag:%2267c69b35-2704d%22	https://html.awaikenthemes.com/infine/images/service-entry-3.jpg	C:/My%20Web%20Sites/lakshmi-plastic%20-%204%20-%20landing%20page%20with%20video/html.awaikenthemes.com/infine/images/service-entry-3.jpg	(from https://html.awaikenthemes.com/infine/service-single.html)
17:36:17	118687/118687	---M--	200	added ('OK')	image/jpeg	etag:%2267c69b35-1cf9f%22	https://html.awaikenthemes.com/infine/images/team-5.jpg	C:/My%20Web%20Sites/lakshmi-plastic%20-%204%20-%20landing%20page%20with%20video/html.awaikenthemes.com/infine/images/team-5.jpg	(from https://html.awaikenthemes.com/infine/team.html)
